,FIRE_YEAR,COUNTY_NAME,NUM_OF_FIRES
0,2014,Alameda County,41
1,2014,Alpine County,59
2,2014,Amador County,72
3,2014,Butte County,288
4,2014,Calaveras County,91
5,2014,Colusa County,7
6,2014,Contra Costa County,50
7,2014,Del Norte County,49
8,2014,Douglas County,1
9,2014,El Dorado County,225
10,2014,Fresno County,224
11,2014,Glenn County,9
12,2014,Humboldt County,293
13,2014,Imperial County,19
14,2014,Inyo County,39
15,2014,Josephine County,1
16,2014,Kern County,69
17,2014,Kings County,16
18,2014,Lake County,71
19,2014,Lassen County,106
20,2014,Los Angeles County,186
21,2014,Lyon County,2
22,2014,Madera County,200
23,2014,Marin County,33
24,2014,Mariposa County,87
25,2014,Mendocino County,160
26,2014,Merced County,197
27,2014,Modoc County,120
28,2014,Mono County,75
29,2014,Monterey County,75
30,2014,Municipio de Mexicali,2
31,2014,Municipio de Tecate,1
32,2014,Napa County,69
33,2014,Nevada County,99
34,2014,Orange County,80
35,2014,Placer County,247
36,2014,Plumas County,133
37,2014,Riverside County,605
38,2014,Sacramento County,85
39,2014,San Benito County,9
40,2014,San Bernardino County,251
41,2014,San Diego County,263
42,2014,San Francisco City and County,5
43,2014,San Joaquin County,28
44,2014,San Luis Obispo County,97
45,2014,San Mateo County,31
46,2014,Santa Barbara County,32
47,2014,Santa Clara County,47
48,2014,Santa Cruz County,111
49,2014,Shasta County,232
50,2014,Sierra County,38
51,2014,Siskiyou County,295
52,2014,Solano County,12
53,2014,Sonoma County,136
54,2014,Stanislaus County,61
55,2014,Sutter County,18
56,2014,Tehama County,140
57,2014,Trinity County,82
58,2014,Tulare County,108
59,2014,Tuolumne County,177
60,2014,Ventura County,36
61,2014,Washoe County,2
62,2014,Yolo County,24
63,2014,Yuba County,73
64,2015,Alameda County,53
65,2015,Alpine County,21
66,2015,Amador County,48
67,2015,Butte County,263
68,2015,Calaveras County,114
69,2015,Colusa County,13
70,2015,Contra Costa County,62
71,2015,Del Norte County,108
72,2015,El Dorado County,280
73,2015,Fresno County,433
74,2015,Glenn County,11
75,2015,Humboldt County,489
76,2015,Imperial County,10
77,2015,Inyo County,20
78,2015,Jackson County,3
79,2015,Josephine County,1
80,2015,Kern County,68
81,2015,Kings County,9
82,2015,Klamath County,1
83,2015,Lake County,90
84,2015,Lassen County,133
85,2015,Los Angeles County,168
86,2015,Madera County,211
87,2015,Marin County,12
88,2015,Mariposa County,100
89,2015,Mendocino County,173
90,2015,Merced County,273
91,2015,Modoc County,89
92,2015,Mono County,49
93,2015,Monterey County,109
94,2015,Municipio de Tijuana,1
95,2015,Napa County,76
96,2015,Nevada County,159
97,2015,Orange County,54
98,2015,Placer County,222
99,2015,Plumas County,185
100,2015,Riverside County,617
101,2015,Sacramento County,38
102,2015,San Benito County,20
103,2015,San Bernardino County,242
104,2015,San Diego County,213
105,2015,San Francisco City and County,9
106,2015,San Joaquin County,35
107,2015,San Luis Obispo County,140
108,2015,San Mateo County,41
109,2015,Santa Barbara County,49
110,2015,Santa Clara County,89
111,2015,Santa Cruz County,77
112,2015,Shasta County,249
113,2015,Sierra County,48
114,2015,Siskiyou County,313
115,2015,Solano County,51
116,2015,Sonoma County,156
117,2015,Stanislaus County,65
118,2015,Sutter County,2
119,2015,Tehama County,137
120,2015,Trinity County,189
121,2015,Tulare County,186
122,2015,Tuolumne County,131
123,2015,Ventura County,59
124,2015,Washoe County,3
125,2015,Yolo County,22
126,2015,Yuba County,73
