MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20151229,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-12-29,2016-01-04,2
20151222,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-12-22,2015-12-28,2
20151215,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-12-15,2015-12-21,2
20151208,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-12-08,2015-12-14,2
20151201,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-12-01,2015-12-07,2
20151124,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-11-24,2015-11-30,2
20151117,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-11-17,2015-11-23,2
20151110,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-11-10,2015-11-16,2
20151103,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-11-03,2015-11-09,2
20151027,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-10-27,2015-11-02,2
20151020,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-10-20,2015-10-26,2
20151013,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-10-13,2015-10-19,2
20151006,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-10-06,2015-10-12,2
20150929,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-09-29,2015-10-05,2
20150922,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-09-22,2015-09-28,2
20150915,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-09-15,2015-09-21,2
20150908,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-09-08,2015-09-14,2
20150901,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-09-01,2015-09-07,2
20150825,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-08-25,2015-08-31,2
20150818,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-08-18,2015-08-24,2
20150811,06001,Alameda County,CA,0.00,0.00,0.00,0.00,81.04,18.96,2015-08-11,2015-08-17,2
